net_type,province,city_name,area_name,area_code,msc_name,msc_id,sign_point_code,scp_vc_id,number_reply_code,remark,start_time
GS,湖北,武汉,黄石,714,武汉GS41,13445723,17-254-202,,20161109,,2016/11/9 9:13
DS,湖北,宜昌,荆州,716,宜昌DS5,13740867,17-254-244,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS44,13442710,17-254-250,,20161109,,2016/11/9 9:13
DS,湖北,武汉,黄石,714,武汉DS13,13446726,17-251-28,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS43,13441719,17-254-246,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS45,13442711,17-254-252,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS46,13442712,17-254-254,,20161109,,2016/11/9 9:13
GS,湖北,武汉,黄石,714,武汉GS47,13446725,17-251-26,,20161109,,2016/11/9 9:13
DS,湖北,襄樊,襄樊,710,襄樊DS10,13740727,17-254-242,,鄂移计[2016]54号,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS48,13442714,17-251-35,,20161109,,2016/11/9 9:13
GS,湖北,宜昌,荆州,716,宜昌GS14,13445726,17-254-210,,20161109,,2016/11/9 9:13
GS,湖北,宜昌,宜昌,717,宜昌GS12,13445724,17-254-204,,20161109,,2016/11/9 9:13
GS,湖北,襄樊,襄樊,710,襄樊GS12,13446720,17-254-220,,20161109,,2016/11/9 9:13
GS,湖北,襄樊,襄樊,710,襄樊GS13,13446721,17-254-222,,20161109,,2016/11/9 9:13
